Source,Target,Sign,Type
29,12,1,Undirected
29,15,1,Undirected
29,16,1,Undirected
29,17,1,Undirected
29,19,0,Undirected
29,20,1,Undirected
29,22,1,Undirected
29,24,1,Undirected
29,25,1,Undirected
29,27,1,Undirected
29,30,1,Undirected
29,31,1,Undirected
29,33,1,Undirected
29,38,1,Undirected
29,39,1,Undirected
29,41,1,Undirected
29,42,1,Undirected
29,43,0,Undirected
29,46,0,Undirected
29,49,1,Undirected
29,61,1,Undirected
29,62,0,Undirected
29,70,1,Undirected
29,72,1,Undirected
30,2,1,Undirected
30,4,1,Undirected
30,8,1,Undirected
30,10,1,Undirected
30,11,1,Undirected
30,23,1,Undirected
30,25,1,Undirected
30,27,1,Undirected
30,29,1,Undirected
30,31,1,Undirected
30,34,1,Undirected
30,43,1,Undirected
30,46,0,Undirected
30,63,0,Undirected
30,72,1,Undirected
30,76,1,Undirected
31,4,1,Undirected
31,7,1,Undirected
31,8,1,Undirected
31,11,1,Undirected
31,15,1,Undirected
31,22,1,Undirected
31,23,1,Undirected
31,26,1,Undirected
31,27,1,Undirected
31,29,1,Undirected
31,30,1,Undirected
32,2,1,Undirected
32,4,0,Undirected
32,6,1,Undirected
32,7,1,Undirected
32,8,0,Undirected
32,11,1,Undirected
32,12,0,Undirected
32,15,1,Undirected
32,18,1,Undirected
32,19,1,Undirected
32,20,1,Undirected
32,21,1,Undirected
32,22,1,Undirected
32,24,1,Undirected
32,25,1,Undirected
32,33,1,Undirected
32,37,1,Undirected
32,39,1,Undirected
32,40,1,Undirected
32,43,1,Undirected
32,46,1,Undirected
32,47,1,Undirected
32,50,1,Undirected
32,56,0,Undirected
33,4,0,Undirected
33,5,0,Undirected
33,6,0,Undirected
33,7,0,Undirected
33,9,0,Undirected
33,12,0,Undirected
33,18,1,Undirected
33,19,0,Undirected
33,20,1,Undirected
33,21,0,Undirected
33,24,1,Undirected
33,25,1,Undirected
33,29,1,Undirected
33,32,1,Undirected
33,36,1,Undirected
33,37,1,Undirected
33,38,1,Undirected
33,39,1,Undirected
33,40,0,Undirected
33,41,1,Undirected
33,43,1,Undirected
33,46,0,Undirected
33,52,1,Undirected
33,53,1,Undirected
33,55,1,Undirected
33,56,1,Undirected
33,70,0,Undirected
33,72,1,Undirected
34,2,1,Undirected
34,4,1,Undirected
34,6,1,Undirected
34,7,1,Undirected
34,10,1,Undirected
34,11,1,Undirected
34,12,1,Undirected
34,15,1,Undirected
34,19,0,Undirected
34,21,1,Undirected
34,23,1,Undirected
34,26,1,Undirected
34,30,1,Undirected
34,49,1,Undirected
34,63,1,Undirected
35,1,1,Undirected
35,2,0,Undirected
35,4,0,Undirected
35,7,0,Undirected
35,9,1,Undirected
35,12,0,Undirected
35,18,1,Undirected
35,19,0,Undirected
35,21,1,Undirected
35,72,1,Undirected
36,1,1,Undirected
36,4,0,Undirected
36,6,1,Undirected
36,7,1,Undirected
36,12,1,Undirected
36,13,1,Undirected
36,14,1,Undirected
36,18,1,Undirected
36,24,1,Undirected
36,27,1,Undirected
36,28,1,Undirected
36,33,1,Undirected
36,42,1,Undirected
36,45,0,Undirected
36,48,1,Undirected
36,50,1,Undirected
36,52,1,Undirected
36,53,1,Undirected
36,55,1,Undirected
36,62,1,Undirected
36,63,0,Undirected
36,69,1,Undirected
36,75,1,Undirected
37,4,0,Undirected
37,6,1,Undirected
37,7,0,Undirected
37,11,1,Undirected
37,12,1,Undirected
37,15,1,Undirected
37,18,1,Undirected
37,20,1,Undirected
37,26,0,Undirected
37,27,0,Undirected
37,32,1,Undirected
37,33,1,Undirected
37,38,0,Undirected
37,39,0,Undirected
37,40,0,Undirected
37,41,1,Undirected
37,43,1,Undirected
37,46,1,Undirected
37,52,1,Undirected
37,53,1,Undirected
37,55,1,Undirected
37,59,0,Undirected
37,62,0,Undirected
37,68,1,Undirected
37,70,1,Undirected
38,3,0,Undirected
38,9,1,Undirected
38,12,1,Undirected
38,17,1,Undirected
38,19,0,Undirected
38,20,1,Undirected
38,21,1,Undirected
38,29,1,Undirected
38,33,1,Undirected
38,37,0,Undirected
38,39,0,Undirected
38,40,0,Undirected
38,47,1,Undirected
38,48,1,Undirected
38,57,0,Undirected
38,59,0,Undirected
38,62,0,Undirected
39,3,0,Undirected
39,4,1,Undirected
39,6,1,Undirected
39,7,1,Undirected
39,8,0,Undirected
39,9,1,Undirected
39,11,1,Undirected
39,12,1,Undirected
39,15,0,Undirected
39,18,1,Undirected
39,19,0,Undirected
39,22,1,Undirected
39,25,0,Undirected
39,27,0,Undirected
39,29,1,Undirected
39,32,1,Undirected
39,33,1,Undirected
39,37,0,Undirected
39,38,0,Undirected
39,41,0,Undirected
39,43,0,Undirected
39,52,1,Undirected
39,53,1,Undirected
39,55,1,Undirected
39,62,0,Undirected
39,70,0,Undirected
40,4,1,Undirected
40,6,1,Undirected
40,7,1,Undirected
40,12,1,Undirected
40,15,0,Undirected
40,19,0,Undirected
40,20,1,Undirected
40,21,1,Undirected
40,22,0,Undirected
40,25,0,Undirected
40,32,1,Undirected
40,33,0,Undirected
40,37,0,Undirected
40,38,0,Undirected
40,43,0,Undirected
40,46,0,Undirected
40,47,1,Undirected
40,52,1,Undirected
40,53,1,Undirected
40,62,0,Undirected
41,4,0,Undirected
41,6,1,Undirected
41,7,1,Undirected
41,11,1,Undirected
41,12,1,Undirected
41,17,1,Undirected
41,18,1,Undirected
41,19,0,Undirected
41,24,1,Undirected
41,25,1,Undirected
41,29,1,Undirected
41,33,1,Undirected
41,37,1,Undirected
41,39,0,Undirected
41,43,1,Undirected
41,56,1,Undirected
41,70,1,Undirected
41,72,1,Undirected
42,2,1,Undirected
42,4,1,Undirected
42,7,1,Undirected
42,9,1,Undirected
42,11,1,Undirected
42,15,1,Undirected
42,19,0,Undirected
42,22,1,Undirected
42,23,1,Undirected
42,25,1,Undirected
42,26,1,Undirected
42,27,1,Undirected
42,29,1,Undirected
42,36,1,Undirected
42,46,1,Undirected
42,47,1,Undirected
42,51,0,Undirected
42,54,1,Undirected
42,64,1,Undirected
42,70,0,Undirected
42,76,1,Undirected
43,4,0,Undirected
43,6,1,Undirected
43,7,1,Undirected
43,11,1,Undirected
43,12,0,Undirected
43,15,1,Undirected
43,18,0,Undirected
43,19,1,Undirected
43,20,1,Undirected
43,21,1,Undirected
43,22,0,Undirected
43,23,1,Undirected
43,24,1,Undirected
43,25,1,Undirected
43,29,0,Undirected
43,30,1,Undirected
43,32,1,Undirected
43,33,1,Undirected
43,37,1,Undirected
43,39,0,Undirected
43,40,0,Undirected
43,41,1,Undirected
43,45,1,Undirected
43,46,0,Undirected
43,47,1,Undirected
43,51,1,Undirected
43,52,0,Undirected
43,59,0,Undirected
43,64,1,Undirected
43,74,1,Undirected
44,11,1,Undirected
44,19,1,Undirected
44,21,0,Undirected
44,23,1,Undirected
44,24,1,Undirected
44,25,0,Undirected
44,47,0,Undirected
45,4,1,Undirected
45,6,1,Undirected
45,17,0,Undirected
45,19,1,Undirected
45,23,1,Undirected
45,36,0,Undirected
45,43,1,Undirected
45,46,1,Undirected
45,54,1,Undirected
45,68,1,Undirected
45,69,0,Undirected
45,71,1,Undirected
45,75,1,Undirected
46,4,0,Undirected
46,5,1,Undirected
46,6,0,Undirected
46,7,0,Undirected
46,9,1,Undirected
46,11,0,Undirected
46,12,0,Undirected
46,15,0,Undirected
46,19,0,Undirected
46,24,0,Undirected
46,25,0,Undirected
46,26,1,Undirected
46,27,0,Undirected
46,29,0,Undirected
46,30,0,Undirected
46,32,1,Undirected
46,33,0,Undirected
46,37,1,Undirected
46,40,0,Undirected
46,42,1,Undirected
46,43,0,Undirected
46,45,1,Undirected
46,47,1,Undirected
46,50,0,Undirected
46,62,1,Undirected
46,63,0,Undirected
46,70,0,Undirected
46,71,1,Undirected
47,2,1,Undirected
47,4,1,Undirected
47,6,1,Undirected
47,7,1,Undirected
47,8,0,Undirected
47,13,1,Undirected
47,18,1,Undirected
47,19,1,Undirected
47,20,1,Undirected
47,21,1,Undirected
47,24,1,Undirected
47,25,0,Undirected
47,32,1,Undirected
47,38,1,Undirected
47,40,1,Undirected
47,42,1,Undirected
47,43,1,Undirected
47,44,0,Undirected
47,46,1,Undirected
47,50,1,Undirected
47,52,0,Undirected
47,56,1,Undirected
47,77,1,Undirected
48,4,0,Undirected
48,6,1,Undirected
48,7,0,Undirected
48,17,1,Undirected
48,18,1,Undirected
48,19,0,Undirected
48,22,0,Undirected
48,24,1,Undirected
48,25,1,Undirected
48,36,1,Undirected
48,38,1,Undirected
48,51,1,Undirected
48,55,1,Undirected
48,69,1,Undirected
48,73,1,Undirected
49,2,1,Undirected
49,4,1,Undirected
49,7,0,Undirected
49,10,1,Undirected
49,11,1,Undirected
49,15,1,Undirected
49,18,0,Undirected
49,19,1,Undirected
49,21,0,Undirected
49,23,1,Undirected
49,25,1,Undirected
49,26,1,Undirected
49,27,1,Undirected
49,29,1,Undirected
49,34,1,Undirected
49,51,1,Undirected
49,66,1,Undirected
50,4,0,Undirected
50,6,1,Undirected
50,7,1,Undirected
50,8,1,Undirected
50,12,1,Undirected
50,19,0,Undirected
50,24,1,Undirected
50,32,1,Undirected
50,36,1,Undirected
50,46,0,Undirected
50,47,1,Undirected
50,66,1,Undirected
51,4,1,Undirected
51,11,1,Undirected
51,42,0,Undirected
51,43,1,Undirected
51,48,1,Undirected
51,49,1,Undirected
52,1,1,Undirected
52,4,1,Undirected
52,6,1,Undirected
52,7,1,Undirected
52,11,1,Undirected
52,12,1,Undirected
52,15,1,Undirected
52,18,1,Undirected
52,19,1,Undirected
52,20,0,Undirected
52,22,0,Undirected
52,24,1,Undirected
52,33,1,Undirected
52,36,1,Undirected
52,37,1,Undirected
52,39,1,Undirected
52,40,1,Undirected
52,43,0,Undirected
52,47,0,Undirected
52,53,1,Undirected
52,55,1,Undirected
52,62,1,Undirected
52,69,1,Undirected
53,4,1,Undirected
53,6,1,Undirected
53,7,1,Undirected
53,9,0,Undirected
53,12,1,Undirected
53,14,1,Undirected
53,18,1,Undirected
53,24,1,Undirected
53,25,1,Undirected
53,33,1,Undirected
53,36,1,Undirected
53,37,1,Undirected
53,39,1,Undirected
53,40,1,Undirected
53,52,1,Undirected
53,55,1,Undirected
53,61,1,Undirected
53,69,1,Undirected
53,70,0,Undirected
54,4,1,Undirected
54,13,1,Undirected
54,21,1,Undirected
54,26,1,Undirected
54,42,1,Undirected
54,45,1,Undirected
54,64,0,Undirected
54,66,1,Undirected
54,67,1,Undirected
54,77,1,Undirected
55,4,1,Undirected
55,6,1,Undirected
55,7,1,Undirected
55,12,1,Undirected
55,18,1,Undirected
55,19,1,Undirected
55,20,1,Undirected
55,24,1,Undirected
55,25,1,Undirected
55,27,1,Undirected
55,33,1,Undirected
55,36,1,Undirected
55,37,1,Undirected
55,39,1,Undirected
55,48,1,Undirected
55,52,1,Undirected
55,53,1,Undirected
55,59,1,Undirected
55,62,1,Undirected
56,4,0,Undirected
56,6,1,Undirected
56,12,1,Undirected
56,18,1,Undirected
56,19,1,Undirected
56,25,1,Undirected
56,32,0,Undirected
56,33,1,Undirected
56,41,1,Undirected
56,47,1,Undirected
56,69,1,Undirected
56,70,1,Undirected
56,72,1,Undirected
57,4,1,Undirected
57,15,1,Undirected
57,38,0,Undirected
58,4,1,Undirected
58,9,1,Undirected
58,65,0,Undirected
59,6,1,Undirected
59,7,0,Undirected
59,11,1,Undirected
59,12,1,Undirected
59,19,0,Undirected
59,37,0,Undirected
59,38,0,Undirected
59,43,0,Undirected
59,55,1,Undirected
59,62,1,Undirected
60,4,1,Undirected
61,0,1,Undirected
61,4,1,Undirected
61,12,1,Undirected
61,27,1,Undirected
61,29,1,Undirected
61,53,1,Undirected
61,62,1,Undirected
62,4,0,Undirected
62,6,1,Undirected
62,7,0,Undirected
62,9,0,Undirected
62,12,1,Undirected
62,19,0,Undirected
62,29,0,Undirected
62,36,1,Undirected
62,37,0,Undirected
62,38,0,Undirected
62,39,0,Undirected
62,40,0,Undirected
62,46,1,Undirected
62,52,1,Undirected
62,55,1,Undirected
62,59,1,Undirected
62,61,1,Undirected
63,11,1,Undirected
63,13,1,Undirected
63,19,1,Undirected
63,21,0,Undirected
63,22,0,Undirected
63,23,1,Undirected
63,26,1,Undirected
63,30,0,Undirected
63,34,1,Undirected
63,36,0,Undirected
63,46,0,Undirected
64,4,0,Undirected
64,15,0,Undirected
64,21,1,Undirected
64,42,1,Undirected
64,43,1,Undirected
64,54,0,Undirected
64,66,0,Undirected
65,4,1,Undirected
65,21,0,Undirected
65,58,0,Undirected
66,0,1,Undirected
66,2,1,Undirected
66,4,1,Undirected
66,13,1,Undirected
66,21,1,Undirected
66,23,1,Undirected
66,49,1,Undirected
66,50,1,Undirected
66,54,1,Undirected
66,64,0,Undirected
66,67,1,Undirected
66,71,1,Undirected
67,4,1,Undirected
67,11,1,Undirected
67,13,1,Undirected
67,21,1,Undirected
67,54,1,Undirected
67,66,1,Undirected
68,2,1,Undirected
68,4,1,Undirected
68,11,1,Undirected
68,21,1,Undirected
68,22,1,Undirected
68,37,1,Undirected
68,45,1,Undirected
68,71,1,Undirected
68,74,0,Undirected
68,75,1,Undirected
69,1,1,Undirected
69,4,0,Undirected
69,6,1,Undirected
69,17,1,Undirected
69,18,1,Undirected
69,19,1,Undirected
69,24,1,Undirected
69,25,1,Undirected
69,36,1,Undirected
69,45,0,Undirected
69,48,1,Undirected
69,52,1,Undirected
69,53,1,Undirected
69,56,1,Undirected
70,4,0,Undirected
70,6,0,Undirected
70,7,1,Undirected
70,12,0,Undirected
70,15,1,Undirected
70,19,1,Undirected
70,23,1,Undirected
70,25,1,Undirected
70,29,1,Undirected
70,33,0,Undirected
70,37,1,Undirected
70,39,0,Undirected
70,41,1,Undirected
70,42,0,Undirected
70,46,0,Undirected
70,53,0,Undirected
70,56,1,Undirected
70,72,1,Undirected
71,4,1,Undirected
71,11,1,Undirected
71,15,1,Undirected
71,23,1,Undirected
71,45,1,Undirected
71,46,1,Undirected
71,66,1,Undirected
71,68,1,Undirected
72,4,1,Undirected
72,6,1,Undirected
72,7,1,Undirected
72,11,1,Undirected
72,12,1,Undirected
72,18,1,Undirected
72,19,1,Undirected
72,24,1,Undirected
72,25,1,Undirected
72,29,1,Undirected
72,30,1,Undirected
72,33,1,Undirected
72,35,1,Undirected
72,41,1,Undirected
72,56,1,Undirected
72,70,1,Undirected
73,4,1,Undirected
73,7,1,Undirected
73,48,1,Undirected
74,3,1,Undirected
74,4,1,Undirected
74,43,1,Undirected
74,68,0,Undirected
75,2,1,Undirected
75,4,1,Undirected
75,36,1,Undirected
75,45,1,Undirected
75,68,1,Undirected
76,4,1,Undirected
76,11,1,Undirected
76,25,1,Undirected
76,27,1,Undirected
76,30,1,Undirected
76,42,1,Undirected
77,47,1,Undirected
77,54,1,Undirected
